scholar_id,scholar_name,institution,country
001,Gabriel Kreiman,Harvard University,USA
002,Michael Bonner,Johns Hopkins University,USA
003,Jim DiCarlo,MIT,USA
004,Dan Yamins,Stanford University,USA
005,Leyla Isik,Johns Hopkins University,USA
006,Nancy Kanwisher,MIT,USA
007,Winrich Freiwald,Rockefeller University,USA
008,Jack L. Gallant,UC Berkeley,USA
009,David J. Heeger,New York University,USA
010,Margaret S. Livingstone,Harvard University,USA
